id,participant1,participant2,totalSnips,commonSnips,uncommonSnips,heterozygotes,homozygotes,dashes,iAcc,iUnAcc
0,,,,,,,,,,
1,22,21,934008,484532,168594,276037,653126,4525,0,320
2,23,21,934004,516303,137465,275824,653768,4098,0,314
3,24,21,933995,486594,169838,273266,656432,3986,0,311
4,25,21,558680,275170,103951,178551,379121,899,0,109
5,23,22,934004,513837,139931,275824,653768,4098,0,314
6,24,22,933995,528220,128212,273266,656432,3986,0,311
7,25,22,558680,274289,104832,178551,379121,899,0,109
8,24,23,933995,498419,158013,273266,656432,3986,0,311
9,25,23,558680,292634,86487,178551,379121,899,0,109
10,25,24,558680,266000,113121,178551,379121,899,0,109
11,52,51,629749,331328,104381,194040,435709,0,0,0
12,53,51,619836,248339,188207,183290,436546,0,0,0
13,54,51,629454,353429,81096,194929,434525,0,0,0
14,53,52,619836,238115,198431,183290,436546,0,0,0
15,54,52,629454,337971,96554,194929,434525,0,0,0
16,54,53,629454,253286,181239,194929,434525,0,0,0
17,52,51,629749,331328,104381,194040,435709,0,0,0
18,53,51,619836,248339,188207,183290,436546,0,0,0
19,54,51,629454,353429,81096,194929,434525,0,0,0
20,53,52,619836,238115,198431,183290,436546,0,0,0
21,54,52,629454,337971,96554,194929,434525,0,0,0
22,54,53,629454,253286,181239,194929,434525,0,0,0
23,22,21,934008,484532,168594,276037,653126,4525,0,320
24,23,21,934004,516303,137465,275824,653768,4098,0,314
25,24,21,933995,486594,169838,273266,656432,3986,0,311
26,25,21,558680,275170,103951,178551,379121,899,0,109
27,23,22,934004,513837,139931,275824,653768,4098,0,314
28,24,22,933995,528220,128212,273266,656432,3986,0,311
29,25,22,558680,274289,104832,178551,379121,899,0,109
30,24,23,933995,498419,158013,273266,656432,3986,0,311
31,25,23,558680,292634,86487,178551,379121,899,0,109
32,25,24,558680,266000,113121,178551,379121,899,0,109
33,22,21,934008,484532,168594,276037,653126,4525,0,320
34,23,21,934004,516303,137465,275824,653768,4098,0,314
35,24,21,933995,486594,169838,273266,656432,3986,0,311
36,25,21,558680,275170,103951,178551,379121,899,0,109
37,23,22,934004,513837,139931,275824,653768,4098,0,314
38,24,22,933995,528220,128212,273266,656432,3986,0,311
39,25,22,558680,274289,104832,178551,379121,899,0,109
40,24,23,933995,498419,158013,273266,656432,3986,0,311
41,25,23,558680,292634,86487,178551,379121,899,0,109
42,25,24,558680,266000,113121,178551,379121,899,0,109
